1000467239,447825761	18.85
1000468283,447825394	30.17
1000468482,5490168764	24.86
1000468679,1000468917	29.53
1000468695,1000468679	26.42
1000468745,359874488	19.89
1000468745,42957809	13.98
1000468917,359874488	20.20
100521831,100522479	13.51
100522479,3639382767	14.19
100522728,42448811	14.70
100522728,42457476	11.18
100522741,100522728	12.78
100522741,42434085	10.43
100659881,277481443	37.26
100661124,597443928	42.17
100662028,100662030	47.02
100662028,277481542	37.52
100662030,277481765	43.63
100662035,471244587	37.35
100662035,471244797	37.71
1012642394,4202517898	27.53
1012642403,42891358	22.41
1012642403,5436352420	9.99
1012642442,42819142	15.11
1012642442,42863268	27.57
1012642978,280866641	17.83
1012642978,42837828	8.77
1012642990,4205169130	26.29
1012642990,4205169131	26.60
1012642990,42817324	11.27
1012642990,42858805	16.83
1012643023,42877357	21.93
1012643023,42901211	20.36
1012643029,42834825	17.94
1012643029,42878454	20.45
1012643029,42885663	12.82
1012643186,42837837	14.91
1012643186,42837839	19.86
1012654081,42845121	23.66
1012654081,5436352365	9.25
1024610039,1024610091	26.49
1024610039,1024611797	26.29
1024610039,42813338	17.98
1024610088,1024610091	22.05
1024610088,4521705998	27.98
1024610091,1024610039	21.79
1024610091,1024610088	25.41
1024610091,42813281	19.79
1024610095,1024611797	27.13
1024610095,4521705995	24.04
1024610106,1024610116	14.23
1024610106,4521705997	15.93
1024610116,1024610106	24.02
1024610116,42924570	21.84
1024610116,42933974	20.71
1024610116,4554402632	21.16
1024611562,4521706008	12.62
1024611562,4554402632	23.79
1024611797,1024610039	27.24
1024611797,1024610095	25.39
1024654147,1024654152	23.38
1024654152,360745668	49.24
1024654222,42821071	19.39
1024654222,42925298	8.66
1024654242,42787984	32.51
1024654245,1024654242	30.49
1024654498,42869205	20.07
1024654498,42869213	10.87
1024654575,1024654581	18.32
1024654575,462788191	46.10
1024654581,1942055254	13.50
1024654581,42821031	14.35
102974409,252112422	40.60
102975743,1570138872	47.76
102975747,102975748	45.48
102975748,561588886	42.83
102975755,65561576	39.52
102988174,42722816	31.84
102989008,102989011	51.99
102989008,102994022	49.40
102989011,102988735	48.94
102989145,42723404	15.04
102989700,102992861	47.12
102989700,102993141	45.67
102989915,102989008	51.05
102989915,4207768150	27.79
102992861,886639702	50.89
102993141,102993145	46.31
102993145,102992861	48.67
102993938,102989011	50.10
102994022,102993938	49.48
103001653,42753856	10.25
103001653,42756695	27.01
